,0
799,A
800,H
801,A
802,H
803,H
804,H
805,A
806,A
807,H
808,H
809,H
810,H
811,H
812,H
813,A
814,H
815,H
816,H
817,H
818,A
819,A
820,A
821,A
822,H
823,H
824,A
825,H
826,H
827,H
828,A
829,H
830,H
831,H
832,H
833,H
834,H
835,H
836,H
837,H
838,H
839,A
840,A
841,H
842,A
843,H
844,H
845,H
846,H
847,H
848,H
849,A
850,A
851,A
852,A
853,H
854,H
855,H
856,A
857,A
858,A
859,H
860,A
861,A
862,H
863,H
864,A
865,A
866,H
867,H
868,A
869,H
870,H
871,A
872,H
873,H
874,A
875,A
876,H
877,H
878,H
879,H
880,H
881,H
882,A
883,H
884,H
885,H
886,H
887,H
888,H
889,H
890,A
891,A
892,H
893,H
894,H
895,H
896,A
897,H
898,H
899,A
900,A
901,H
902,H
903,A
904,A
905,A
906,H
907,A
908,A
909,H
910,H
911,A
912,H
913,A
914,H
915,A
916,H
917,H
918,A
919,A
920,A
921,H
922,H
923,A
924,H
925,H
926,H
927,A
928,H
929,A
930,A
931,H
932,H
933,H
934,A
935,H
936,H
937,A
938,A
939,H
940,H
941,H
942,H
943,H
944,H
945,H
946,H
947,H
948,A
949,H
950,A
951,H
952,A
953,H
954,H
955,A
956,H
957,A
958,H
959,H
960,A
961,A
962,A
963,H
964,H
965,A
966,H
967,H
968,H
969,A
970,H
971,A
972,A
973,H
974,A
975,A
976,H
977,A
978,H
979,A
980,A
981,A
982,H
983,H
984,A
985,A
986,H
987,A
988,A
989,H
990,H
991,A
992,H
993,A
994,A
995,H
996,H
997,A
998,H
999,A
1000,H
1001,A
1002,H
1003,A
1004,A
1005,H
1006,H
1007,H
1008,A
1009,H
1010,A
1011,H
1012,H
1013,A
1014,H
1015,A
1016,H
1017,H
1018,H
1019,A
1020,A
1021,A
1022,H
1023,A
1024,H
1025,H
1026,H
1027,A
1028,H
1029,A
1030,H
1031,H
1032,A
1033,H
1034,A
1035,A
1036,H
1037,A
1038,H
1039,H
1040,A
1041,H
1042,A
1043,H
1044,H
1045,A
1046,A
1047,H
1048,A
1049,H
1050,H
1051,H
1052,A
1053,H
1054,H
1055,H
1056,H
1057,H
1058,H
1059,H
1060,A
1061,H
1062,H
1063,A
1064,A
1065,H
1066,H
1067,A
1068,A
1069,H
1070,H
1071,A
1072,A
1073,H
1074,A
1075,A
1076,H
1077,H
1078,H
1079,A
1080,H
1081,A
1082,A
1083,H
1084,A
1085,A
1086,H
1087,H
1088,H
1089,H
1090,H
1091,A
1092,A
1093,A
1094,H
1095,A
1096,A
1097,H
1098,H
1099,A
1100,A
1101,H
1102,A
1103,A
1104,H
1105,H
1106,A
1107,H
1108,H
1109,H
1110,A
1111,H
1112,H
1113,A
1114,A
1115,H
1116,A
1117,A
1118,H
1119,H
1120,A
1121,A
1122,A
1123,A
1124,H
1125,H
1126,H
1127,A
1128,H
1129,A
1130,H
1131,A
1132,H
1133,A
1134,H
1135,A
1136,A
1137,H
1138,H
1139,H
1140,A
1141,H
1142,H
1143,A
1144,H
1145,H
1146,H
1147,H
1148,H
1149,H
1150,H
1151,H
1152,A
1153,A
1154,A
1155,A
1156,H
1157,H
1158,H
1159,H
1160,H
1161,H
1162,H
1163,A
1164,H
1165,H
1166,A
1167,H
1168,A
1169,A
1170,H
1171,A
1172,H
1173,H
1174,H
1175,H
1176,H
1177,H
1178,A
1179,A
1180,H
1181,H
1182,A
1183,A
1184,H
1185,A
1186,H
1187,A
1188,H
1189,H
1190,A
1191,H
1192,A
1193,H
1194,H
1195,A
1196,A
1197,A
1198,H
1199,A
1200,A
1201,H
1202,A
1203,H
1204,H
1205,A
1206,H
1207,A
1208,A
1209,H
1210,H
1211,A
1212,H
1213,H
1214,A
1215,A
1216,H
1217,A
1218,A
1219,A
1220,H
1221,H
1222,H
1223,H
1224,A
1225,H
1226,H
1227,A
1228,H
1229,A
1230,H
1231,H
1232,H
1233,H
1234,H
1235,A
1236,A
1237,H
1238,H
1239,H
1240,A
1241,A
1242,H
1243,H
1244,H
1245,H
1246,A
1247,H
1248,A
1249,A
1250,H
1251,H
1252,A
1253,H
1254,H
